time_s,head_px,head_py,head_pz,head_qx,head_qy,head_qz,head_qw,gaze_px,gaze_py,gaze_pz,gaze_dx,gaze_dy,gaze_dz
9.980148,0.000071,-0.002040,0.002328,0.024868,0.007582,-0.001395,0.999661,0.000898,0.002875,0.006702,0.232305,-0.225523,0.946136
10.013500,-0.000063,-0.001499,0.002407,0.024062,0.007684,-0.000060,0.999681,0.001044,0.002792,0.006609,0.232899,-0.228622,0.945246
10.046891,-0.000204,-0.001468,0.002329,0.022710,0.006304,0.000718,0.999722,0.001094,0.002862,0.006537,0.234055,-0.226936,0.945367
10.063899,-0.000337,-0.001303,0.002329,0.022337,0.005432,0.000428,0.999736,0.001112,0.002937,0.006526,0.234254,-0.224140,0.945985
10.097046,-0.000225,-0.001136,0.002374,0.022227,0.004048,-0.000685,0.999745,0.000988,0.003182,0.006491,0.233455,-0.224700,0.946049
10.130451,-0.000077,-0.001175,0.002399,0.022409,0.003940,-0.001416,0.999740,0.000889,0.003528,0.006374,0.232183,-0.228208,0.945522
10.147175,0.000016,-0.001215,0.002419,0.022553,0.004435,-0.001489,0.999735,0.000819,0.003657,0.006382,0.235664,-0.224544,0.945538
10.164017,0.000010,-0.001521,0.002417,0.022873,0.005211,-0.001488,0.999724,0.000819,0.003657,0.006382,0.235664,-0.224544,0.945538
10.180824,0.000029,-0.001472,0.002380,0.023337,0.006254,-0.001190,0.999707,0.000825,0.003626,0.006409,0.234845,-0.223674,0.945948
10.197506,0.000136,-0.001325,0.002443,0.023616,0.006959,-0.000760,0.999697,0.000892,0.003569,0.006417,0.233160,-0.223463,0.946415
10.230392,0.000032,-0.001149,0.002606,0.023575,0.007271,0.000177,0.999696,0.001015,0.003538,0.006424,0.233448,-0.225423,0.945879
10.247224,-0.000067,-0.001208,0.002640,0.023334,0.006685,0.000580,0.999705,0.001136,0.003484,0.006497,0.232999,-0.220473,0.947155
10.263986,-0.000136,-0.001170,0.002767,0.023259,0.005971,0.000693,0.999712,0.001118,0.003522,0.006525,0.233995,-0.220174,0.946980
10.297537,-0.000262,-0.001023,0.002878,0.023503,0.004205,-0.000047,0.999715,0.001110,0.003553,0.006618,0.232332,-0.218906,0.947682
10.314289,-0.000241,-0.001041,0.002905,0.023640,0.003586,-0.000694,0.999714,0.001003,0.003643,0.006792,0.230114,-0.221700,0.947574
10.347555,-0.000134,-0.001140,0.002971,0.023744,0.003606,-0.001463,0.999711,0.000832,0.003690,0.006844,0.231959,-0.215820,0.948481
10.364227,-0.000118,-0.001141,0.003022,0.023798,0.004173,-0.001339,0.999707,0.000819,0.003702,0.006892,0.230447,-0.215769,0.948861
10.381232,-0.000147,-0.001224,0.002980,0.023900,0.004861,-0.000760,0.999702,0.000771,0.003722,0.006902,0.232010,-0.210949,0.949564
10.414125,-0.000247,-0.000974,0.002936,0.024348,0.005902,0.000382,0.999686,0.000700,0.003765,0.006940,0.234783,-0.219588,0.946920
10.447555,-0.000418,-0.000817,0.003030,0.023825,0.005755,0.001261,0.999699,0.000715,0.003691,0.006931,0.230852,-0.209301,0.950211
10.464507,-0.000543,-0.000726,0.003102,0.023517,0.005082,0.001631,0.999709,0.000707,0.003737,0.006963,0.231573,-0.209618,0.949966
